sku,brand,price,title,bullet_point,description,size_name,color,image1,image2,image3,image4,image5,image6,image7,image8
sw2109233503433390-S(0),DAZY,"¥2,335",-LESS セーター ソリッド ドロップショルダー,"{'key': 'カラー', 'value': '青色'}|{'key': 'スタイル', 'value': 'カジュアル'}|{'key': '柄-タイプ', 'value': 'プレーン'}|{'key': 'シーズン', 'value': '秋冬'}|{'key': 'タイプ', 'value': 'プルオーバー'}|{'key': 'ネックライン', 'value': 'ラウンドネック'}|{'key': '袖丈', 'value': 'ロングスリーブ'}|{'key': 'スリーブ-タイプ', 'value': 'ドロップショルダー'}|{'key': '長さ', 'value': 'ロング'}|{'key': 'プラケット-タイプ', 'value': 'プルオーバー'}|{'key': 'フィット-タイプ', 'value': 'オーバーサイズ'}|{'key': 'ファブリック', 'value': '僅かストレッチ'}|{'key': '材料', 'value': 'アクリル'}|{'key': '成分', 'value': '52% アクリル, 27% ポリアミド, 21% ポリエステル'}|{'key': 'お手入れ方法', 'value': 'Hand wash or professional dry clean'}|{'key': '極薄シアー', 'value': 'No'}","サイズ&nbsp;&nbsp;&nbsp;US&nbsp;&nbsp;&nbsp;肩&nbsp;&nbsp;&nbsp;長さ&nbsp;&nbsp;&nbsp;袖丈&nbsp;&nbsp;&nbsp;バスト&nbsp;&nbsp;&nbsp;カフ&nbsp;&nbsp;&nbsp;上腕二頭筋の長さ&nbsp;&nbsp;&nbsp;</br>S&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;64&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;52&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;124&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;19&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;42.6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>M&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;68&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;65&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;53&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;128&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;20&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;44&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>L&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;70&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;54&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;132&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45.4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>XL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;72&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;67&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;55&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;136&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;22&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;46.8&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br></br></br><b>カラー:</b>&nbsp;&nbsp;&nbsp;青色</br><b>スタイル:</b>&nbsp;&nbsp;&nbsp;カジュアル</br><b>柄-タイプ:</b>&nbsp;&nbsp;&nbsp;プレーン</br><b>シーズン:</b>&nbsp;&nbsp;&nbsp;秋冬</br><b>タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>ネックライン:</b>&nbsp;&nbsp;&nbsp;ラウンドネック</br><b>袖丈:</b>&nbsp;&nbsp;&nbsp;ロングスリーブ</br><b>スリーブ-タイプ:</b>&nbsp;&nbsp;&nbsp;ドロップショルダー</br><b>長さ:</b>&nbsp;&nbsp;&nbsp;ロング</br><b>プラケット-タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>フィット-タイプ:</b>&nbsp;&nbsp;&nbsp;オーバーサイズ</br><b>ファブリック:</b>&nbsp;&nbsp;&nbsp;僅かストレッチ</br><b>材料:</b>&nbsp;&nbsp;&nbsp;アクリル</br><b>成分:</b>&nbsp;&nbsp;&nbsp;52% アクリル, 27% ポリアミド, 21% ポリエステル</br><b>お手入れ方法:</b>&nbsp;&nbsp;&nbsp;Hand wash or professional dry clean</br><b>極薄シアー:</b>&nbsp;&nbsp;&nbsp;No</br>",S(0),青色,https://img.ltwebstatic.com/images3_pi/2021/11/25/16378222538efada8bfd17f3e2c04bcf2210ce18b9.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822258e94e1c60f7d9f5a0e92734bda5618fbe.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822261100dc34c18fb02758a48f8c200a1fbab.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822266071d115892474d0e5ef3b5d42de60003.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227087a815642fc75aa7c187e52106f6e187.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227563f3a29d663042140229889de6040981.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822283cc3db6fbc3b221d24c973b062937d7d4.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822293556955a59ad64be24eba881cafa4b98b.jpg
sw2109233503433390-M(2),DAZY,"¥2,335",-LESS セーター ソリッド ドロップショルダー,"{'key': 'カラー', 'value': '青色'}|{'key': 'スタイル', 'value': 'カジュアル'}|{'key': '柄-タイプ', 'value': 'プレーン'}|{'key': 'シーズン', 'value': '秋冬'}|{'key': 'タイプ', 'value': 'プルオーバー'}|{'key': 'ネックライン', 'value': 'ラウンドネック'}|{'key': '袖丈', 'value': 'ロングスリーブ'}|{'key': 'スリーブ-タイプ', 'value': 'ドロップショルダー'}|{'key': '長さ', 'value': 'ロング'}|{'key': 'プラケット-タイプ', 'value': 'プルオーバー'}|{'key': 'フィット-タイプ', 'value': 'オーバーサイズ'}|{'key': 'ファブリック', 'value': '僅かストレッチ'}|{'key': '材料', 'value': 'アクリル'}|{'key': '成分', 'value': '52% アクリル, 27% ポリアミド, 21% ポリエステル'}|{'key': 'お手入れ方法', 'value': 'Hand wash or professional dry clean'}|{'key': '極薄シアー', 'value': 'No'}","サイズ&nbsp;&nbsp;&nbsp;US&nbsp;&nbsp;&nbsp;肩&nbsp;&nbsp;&nbsp;長さ&nbsp;&nbsp;&nbsp;袖丈&nbsp;&nbsp;&nbsp;バスト&nbsp;&nbsp;&nbsp;カフ&nbsp;&nbsp;&nbsp;上腕二頭筋の長さ&nbsp;&nbsp;&nbsp;</br>S&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;64&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;52&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;124&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;19&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;42.6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>M&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;68&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;65&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;53&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;128&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;20&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;44&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>L&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;70&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;54&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;132&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45.4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>XL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;72&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;67&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;55&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;136&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;22&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;46.8&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br></br></br><b>カラー:</b>&nbsp;&nbsp;&nbsp;青色</br><b>スタイル:</b>&nbsp;&nbsp;&nbsp;カジュアル</br><b>柄-タイプ:</b>&nbsp;&nbsp;&nbsp;プレーン</br><b>シーズン:</b>&nbsp;&nbsp;&nbsp;秋冬</br><b>タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>ネックライン:</b>&nbsp;&nbsp;&nbsp;ラウンドネック</br><b>袖丈:</b>&nbsp;&nbsp;&nbsp;ロングスリーブ</br><b>スリーブ-タイプ:</b>&nbsp;&nbsp;&nbsp;ドロップショルダー</br><b>長さ:</b>&nbsp;&nbsp;&nbsp;ロング</br><b>プラケット-タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>フィット-タイプ:</b>&nbsp;&nbsp;&nbsp;オーバーサイズ</br><b>ファブリック:</b>&nbsp;&nbsp;&nbsp;僅かストレッチ</br><b>材料:</b>&nbsp;&nbsp;&nbsp;アクリル</br><b>成分:</b>&nbsp;&nbsp;&nbsp;52% アクリル, 27% ポリアミド, 21% ポリエステル</br><b>お手入れ方法:</b>&nbsp;&nbsp;&nbsp;Hand wash or professional dry clean</br><b>極薄シアー:</b>&nbsp;&nbsp;&nbsp;No</br>",M(2),青色,https://img.ltwebstatic.com/images3_pi/2021/11/25/16378222538efada8bfd17f3e2c04bcf2210ce18b9.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822258e94e1c60f7d9f5a0e92734bda5618fbe.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822261100dc34c18fb02758a48f8c200a1fbab.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822266071d115892474d0e5ef3b5d42de60003.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227087a815642fc75aa7c187e52106f6e187.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227563f3a29d663042140229889de6040981.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822283cc3db6fbc3b221d24c973b062937d7d4.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822293556955a59ad64be24eba881cafa4b98b.jpg
sw2109233503433390-L(4),DAZY,"¥2,335",-LESS セーター ソリッド ドロップショルダー,"{'key': 'カラー', 'value': '青色'}|{'key': 'スタイル', 'value': 'カジュアル'}|{'key': '柄-タイプ', 'value': 'プレーン'}|{'key': 'シーズン', 'value': '秋冬'}|{'key': 'タイプ', 'value': 'プルオーバー'}|{'key': 'ネックライン', 'value': 'ラウンドネック'}|{'key': '袖丈', 'value': 'ロングスリーブ'}|{'key': 'スリーブ-タイプ', 'value': 'ドロップショルダー'}|{'key': '長さ', 'value': 'ロング'}|{'key': 'プラケット-タイプ', 'value': 'プルオーバー'}|{'key': 'フィット-タイプ', 'value': 'オーバーサイズ'}|{'key': 'ファブリック', 'value': '僅かストレッチ'}|{'key': '材料', 'value': 'アクリル'}|{'key': '成分', 'value': '52% アクリル, 27% ポリアミド, 21% ポリエステル'}|{'key': 'お手入れ方法', 'value': 'Hand wash or professional dry clean'}|{'key': '極薄シアー', 'value': 'No'}","サイズ&nbsp;&nbsp;&nbsp;US&nbsp;&nbsp;&nbsp;肩&nbsp;&nbsp;&nbsp;長さ&nbsp;&nbsp;&nbsp;袖丈&nbsp;&nbsp;&nbsp;バスト&nbsp;&nbsp;&nbsp;カフ&nbsp;&nbsp;&nbsp;上腕二頭筋の長さ&nbsp;&nbsp;&nbsp;</br>S&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;64&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;52&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;124&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;19&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;42.6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>M&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;68&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;65&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;53&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;128&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;20&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;44&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>L&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;70&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;54&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;132&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45.4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>XL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;72&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;67&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;55&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;136&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;22&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;46.8&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br></br></br><b>カラー:</b>&nbsp;&nbsp;&nbsp;青色</br><b>スタイル:</b>&nbsp;&nbsp;&nbsp;カジュアル</br><b>柄-タイプ:</b>&nbsp;&nbsp;&nbsp;プレーン</br><b>シーズン:</b>&nbsp;&nbsp;&nbsp;秋冬</br><b>タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>ネックライン:</b>&nbsp;&nbsp;&nbsp;ラウンドネック</br><b>袖丈:</b>&nbsp;&nbsp;&nbsp;ロングスリーブ</br><b>スリーブ-タイプ:</b>&nbsp;&nbsp;&nbsp;ドロップショルダー</br><b>長さ:</b>&nbsp;&nbsp;&nbsp;ロング</br><b>プラケット-タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>フィット-タイプ:</b>&nbsp;&nbsp;&nbsp;オーバーサイズ</br><b>ファブリック:</b>&nbsp;&nbsp;&nbsp;僅かストレッチ</br><b>材料:</b>&nbsp;&nbsp;&nbsp;アクリル</br><b>成分:</b>&nbsp;&nbsp;&nbsp;52% アクリル, 27% ポリアミド, 21% ポリエステル</br><b>お手入れ方法:</b>&nbsp;&nbsp;&nbsp;Hand wash or professional dry clean</br><b>極薄シアー:</b>&nbsp;&nbsp;&nbsp;No</br>",L(4),青色,https://img.ltwebstatic.com/images3_pi/2021/11/25/16378222538efada8bfd17f3e2c04bcf2210ce18b9.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822258e94e1c60f7d9f5a0e92734bda5618fbe.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822261100dc34c18fb02758a48f8c200a1fbab.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822266071d115892474d0e5ef3b5d42de60003.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227087a815642fc75aa7c187e52106f6e187.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227563f3a29d663042140229889de6040981.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822283cc3db6fbc3b221d24c973b062937d7d4.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822293556955a59ad64be24eba881cafa4b98b.jpg
sw2109233503433390-XL(6),DAZY,"¥2,335",-LESS セーター ソリッド ドロップショルダー,"{'key': 'カラー', 'value': '青色'}|{'key': 'スタイル', 'value': 'カジュアル'}|{'key': '柄-タイプ', 'value': 'プレーン'}|{'key': 'シーズン', 'value': '秋冬'}|{'key': 'タイプ', 'value': 'プルオーバー'}|{'key': 'ネックライン', 'value': 'ラウンドネック'}|{'key': '袖丈', 'value': 'ロングスリーブ'}|{'key': 'スリーブ-タイプ', 'value': 'ドロップショルダー'}|{'key': '長さ', 'value': 'ロング'}|{'key': 'プラケット-タイプ', 'value': 'プルオーバー'}|{'key': 'フィット-タイプ', 'value': 'オーバーサイズ'}|{'key': 'ファブリック', 'value': '僅かストレッチ'}|{'key': '材料', 'value': 'アクリル'}|{'key': '成分', 'value': '52% アクリル, 27% ポリアミド, 21% ポリエステル'}|{'key': 'お手入れ方法', 'value': 'Hand wash or professional dry clean'}|{'key': '極薄シアー', 'value': 'No'}","サイズ&nbsp;&nbsp;&nbsp;US&nbsp;&nbsp;&nbsp;肩&nbsp;&nbsp;&nbsp;長さ&nbsp;&nbsp;&nbsp;袖丈&nbsp;&nbsp;&nbsp;バスト&nbsp;&nbsp;&nbsp;カフ&nbsp;&nbsp;&nbsp;上腕二頭筋の長さ&nbsp;&nbsp;&nbsp;</br>S&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;64&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;52&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;124&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;19&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;42.6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>M&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;68&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;65&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;53&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;128&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;20&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;44&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>L&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;70&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;66&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;54&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;132&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45.4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br>XL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;72&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;67&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;55&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;136&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;22&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;46.8&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</br></br></br><b>カラー:</b>&nbsp;&nbsp;&nbsp;青色</br><b>スタイル:</b>&nbsp;&nbsp;&nbsp;カジュアル</br><b>柄-タイプ:</b>&nbsp;&nbsp;&nbsp;プレーン</br><b>シーズン:</b>&nbsp;&nbsp;&nbsp;秋冬</br><b>タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>ネックライン:</b>&nbsp;&nbsp;&nbsp;ラウンドネック</br><b>袖丈:</b>&nbsp;&nbsp;&nbsp;ロングスリーブ</br><b>スリーブ-タイプ:</b>&nbsp;&nbsp;&nbsp;ドロップショルダー</br><b>長さ:</b>&nbsp;&nbsp;&nbsp;ロング</br><b>プラケット-タイプ:</b>&nbsp;&nbsp;&nbsp;プルオーバー</br><b>フィット-タイプ:</b>&nbsp;&nbsp;&nbsp;オーバーサイズ</br><b>ファブリック:</b>&nbsp;&nbsp;&nbsp;僅かストレッチ</br><b>材料:</b>&nbsp;&nbsp;&nbsp;アクリル</br><b>成分:</b>&nbsp;&nbsp;&nbsp;52% アクリル, 27% ポリアミド, 21% ポリエステル</br><b>お手入れ方法:</b>&nbsp;&nbsp;&nbsp;Hand wash or professional dry clean</br><b>極薄シアー:</b>&nbsp;&nbsp;&nbsp;No</br>",XL(6),青色,https://img.ltwebstatic.com/images3_pi/2021/11/25/16378222538efada8bfd17f3e2c04bcf2210ce18b9.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822258e94e1c60f7d9f5a0e92734bda5618fbe.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822261100dc34c18fb02758a48f8c200a1fbab.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822266071d115892474d0e5ef3b5d42de60003.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227087a815642fc75aa7c187e52106f6e187.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/163782227563f3a29d663042140229889de6040981.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822283cc3db6fbc3b221d24c973b062937d7d4.jpg,https://img.ltwebstatic.com/images3_pi/2021/11/25/1637822293556955a59ad64be24eba881cafa4b98b.jpg
